Duration  Inputsize NumNeuros NumThreads=2
0.470081  5 10
0.583004  5 12
0.691940  5 14
0.815423  5 16
0.953678  5 18
1.087268  5 20
1.234618  5 22
1.407821  5 24
1.568130  5 26
1.065185  6 11
1.287101  6 13
1.520620  6 15
1.786933  6 17
2.051690  6 19
2.329946  6 21
2.656935  6 23
2.962143  6 25
3.309620  6 27
2.369010  7 12
2.839408  7 14
3.305701  7 16
3.837585  7 18
4.395415  7 20
4.982432  7 22
5.601588  7 24
6.264454  7 26
6.983715  7 28
5.365525  8 13
6.309773  8 15
7.327069  8 17
8.380583  8 19
9.477589  8 21
10.683400  8 23
11.966602  8 25
13.284288  8 27
14.693319  8 29
